Model,File,Clone Method,Clone Type,Detect,Use Fallback,Success Iteration Number,Compile,Test,Usefulness
GPT-5.2,StandardLayouter,calculateLayout,Type-3(a),yes,no,1,yes,yes,yes
GPT-5.2,WindowMenu,buildChildMenus,Type-3(a),yes,no,1,yes,yes,yes
GPT-5.2,PolygonTool,addPoint,Type-3(b),yes,no,1,yes,yes,yes
GPT-5.2,AbstractLineDecoration,read,Type-3(b),yes,no,1,yes,yes,yes
GPT-5.2,BorderTool,mouseDown,Type-3(b),yes,no,1,yes,yes,yes
GPT-5.2,PolygonFigure,handles,Type-3(c),yes,no,2,yes,yes,yes
GPT-5.2,DesktopEventService,getDrawingViews,Type-3(c),yes,no,1,yes,yes,yes
GPT-5.2,ZoomCommand,zoomView,Type-3(c),yes,no,1,yes,yes,yes
GPT-5.2,ZoomTool,mouseDown,Type-3(d),yes,no,1,yes,yes,yes
GPT-5.2,TextAreaFigure,setFont,Type-3(d),yes,no,no,,,3 extract method not confirmed
GPT-5.2,TextAreaTool,mouseUp,Type-3(d),yes,no,no,,,3 incomplete refactoring
GPT-5.2,ImageFigure,imageUpdate,Type-3(e),yes,no,1,yes,yes,yes
GPT-5.2,PolyLineFigure,displayBox,Type-3(e),yes,no,no,no,,
,,,,,,,,,
Claude Opus 4.6,helper.java,getDrawingView,Type 2(b),yes,no,1,yes,yes,yes
Claude Opus 4.6,drawapplet,init,Type 1(a),yes,no,1,yes,yes,yes
Claude Opus 4.6,FigureAttributeConstant,addConstant,Type 1(a),yes,no,1,yes,yes,yes
Claude Opus 4.6,drawapplet,createAttributeConstant,Type 1(a),yes,no,1,yes,yes,yes
Claude Opus 4.6,nothingapplet,createTools,Type 1(a),yes,no,3,yes,yes,yes
Claude Opus 4.6,CompositeFigureCreationTool,mouseDown,Type 1(b),yes,no,1,yes,yes,yes
Claude Opus 4.6,ChopDiamondConnector,chop,Type 1(b),yes,no,1,yes,yes,yes
Claude Opus 4.6,MiniMapDesktop,createLeftComponent,Type 1(b),yes,no,1,yes,yes,yes
Claude Opus 4.6,Animator,run,Type 1(b),yes,no,1,yes,yes,yes
Claude Opus 4.6,CTXWindowMenu,buildChildMenus,Type 1(c),yes,no,1,yes,yes,yes
Claude Opus 4.6,ColorMap,colorIndex,Type 1(c),yes,no,1,yes,yes,yes
Claude Opus 4.6,BouncingDrawing,animationStep,Type 1(c),yes,no,1,yes,yes,yes
Claude Opus 4.6,PertDependency,handleConnect,Type 1(c),yes,no,1,yes,yes,yes
Claude Opus 4.6,AutoscrollHelper,getAutoscrollInsets,Type 2(a),yes,no,1,yes,yes,yes
Claude Opus 4.6,Geom ,direction,Type 2(a),yes,no,no,,,3 incomplete refactoring 
Claude Opus 4.6,JHDDropTargetListener,dragOver,Type 2(a),yes,no,1,yes,yes,yes
Claude Opus 4.6,StandardLayouter,layout,Type 2(a),yes,no,1,yes,yes,yes
Claude Opus 4.6,LineConnection,basicMoveBy,Type 2(b),yes,no,1,yes,yes,yes
Claude Opus 4.6,Triangle Figure,rotate,Type 2(b),yes,no,no,,,1 Post-Extraction clone deletion 2 incomplete refactoing
Claude Opus 4.6,SplitPaneDesktop,removeFromDesktop,Type 2(b),yes,no,1,yes,yes,yes
Claude Opus 4.6,DNDHelper,createDragGestureRecognizer,Type-3(e),yes,no,no,,,3 incomplete refactoring 
Claude Opus 4.6,DragNDropTool,setCursor,Type-3(c),yes,no,no,,,3 incomplete refactoring 
Claude Opus 4.6,JHDDragSourceListener,dragEnter,Type-3(e),yes,no,no,,,3 incomplete refactoring 
Claude Opus 4.6,ColorContentProducer,read,Type-3(c),yes,no,no,,,3 incomplete refactoring 
Claude Opus 4.6,CustomToolBar,activateTools,Type-3(d),yes,no,no,,,3 incomplete refactoring 
Claude Opus 4.6,FloatingTextArea,endOverlay,Type-3(c),yes,no,2,yes,yes,yes
Claude Opus 4.6,MiniMapView,paint,Type-3(c),yes,no,3,yes,yes,yes
Claude Opus 4.6,PolygonFigure,basicDisplayBox,Type-3(c),yes,no,1,yes,yes,yes
Claude Opus 4.6,SimpleLayouter,calculateLayout,Type-3(c),yes,no,1,yes,yes,yes
Claude Opus 4.6,DragTracker,mouseDrag,Type-3(e),yes,no,2,yes,yes,yes
Claude Opus 4.6,JPanelDesktop,createContents,Type-3(a),yes,no,1,yes,yes,yes
Claude Opus 4.6,MDI_DrawApplication,newView,Type-3(a),yes,no,1,yes,yes,yes
Claude Opus 4.6,PolygonTool,deactivate,Type-3(a),yes,no,no,,,3 incomplete refactoring 
Claude Opus 4.6,SVGStorageFormat,store,Type-3(a),yes,no,1,yes,yes,yes
Claude Opus 4.6,TriangleRotationHandle,getOrigin,Type-3(d),yes,no,1,yes,yes,yes
Claude Opus 4.6,ElbowHandle,invokeStep,Type-3(d),yes,no,3,yes,yes,yes
Claude Opus 4.6,ScribbleTool,point,Type-2(c),yes,no,1,yes,yes,yes
Claude Opus 4.6,URLTool,beginEdit,Type-3(b),yes,no,2,yes,yes,yes
Claude Opus 4.6,NodeFigure,drawBorder,Type-3(b),yes,no,1,yes,yes,yes
Claude Opus 4.6,PertFigure,drawBorder,Type-3(b),yes,no,1,yes,yes,yes
Claude Opus 4.6,BufferedUpdateStrategy,draw,Type-2(d),yes,no,no,,,3 incomplete refactoring 
Claude Opus 4.6,ChangeConnectionHandle,findConnectableFigure,Type-3(b),yes,no,1,yes,yes,yes
Claude Opus 4.6,FigureAndEnumerator,nextFigure,Type-1(a),yes,no,1,yes,yes,yes
Claude Opus 4.6,HandleAndEnumerator,nextHandle,Type-1(a),yes,no,1,yes,yes,yes
Claude Opus 4.6,LocatorConnector,displayBox,Type-1(a),yes,no,1,yes,yes,yes
Claude Opus 4.6,LocatorHandle,getCursor,Type-1(b),yes,no,1,yes,yes,yes
Claude Opus 4.6,StandardFigureSelection,getData,Type-1(b),yes,no,1,yes,yes,yes
Claude Opus 4.6,ToggleGridCommand,execute,Type-1(c),yes,no,2,yes,yes,yes
Claude Opus 4.6,CommandMenu,actionPerformed,Type-2(d),yes,no,1,yes,yes,yes
Claude Opus 4.6,PaletteLayout,layoutContainer,Type-2(c),yes,no,1,yes,yes,yes
Claude Opus 4.6,SerializationStorageFormat,restore,Type-1(c),yes,no,1,yes,yes,yes
Claude Opus 4.6,StandardVersionControlStrategy,assertCompatibleVersion,Type-1(c),yes,no,1,yes,yes,yes
Claude Opus 4.6,RoundRectangleGeometricAdapter,getShape,Type-2(a),yes,no,1,yes,yes,yes
Claude Opus 4.6,ScalingGraphics,scaledShape,Type-2(d),yes,no,no,,,3 incomplete refactoring 
Claude Opus 4.6,ZoomDrawingView,setScale,Type-2(d),yes,no,1,yes,yes,yes
Claude Opus 4.6,CTXCommandMenu,checkEnabled,Type-2(a),yes,no,1,yes,yes,yes
Claude Opus 4.6,MySelectionTool,mouseDown,Type-2(b),yes,no,no,,,3 incomplete refactoring 
Claude Opus 4.6,PatternPainter,drawPattern,Type-2(c),yes,no,no,,,1 post-extraction clone deletion  2 incomplete refactoring 
Claude Opus 4.6,SelectAreaTracker,drawXORRect,Type-2(a),yes,no,1,yes,yes,yes
Claude Opus 4.6,Bounds,intersectsBounds,Type-2(a),yes,no,1,yes,yes,yes
Claude Opus 4.6,drawapplet,setupAttributes,Type-1(a),yes,no,no,no,,yes
Claude Opus 4.6,drawapplication,promptOpen,Type-1(a),yes,no,no,,,3 direct clone removal
Claude Opus 4.6,DNDHelper,createDropTarget,Type-1(a),yes,no,1,yes,yes,yes
Claude Opus 4.6,DragNDropTool,mouseUp,Type-1(a),yes,no,1,yes,yes,yes
Claude Opus 4.6,HTMLTextAreaFigure,draw,Type-1(a),yes,no,no,no,,yes
Claude Opus 4.6,JHDDragSourceListener,dragDropEnd,Type-1(b),yes,no,1,yes,yes,yes
Claude Opus 4.6,JHDDropTargetListener,supportDropTargetDragEvent,Type-1(b),yes,no,1,yes,yes,yes
Claude Opus 4.6,AttributeFigureContentProducer,getContent,Type-1(b),yes,no,1,yes,yes,yes
Claude Opus 4.6,ColorContentProducer,getContent,Type-1(b),yes,no,1,yes,yes,yes
Claude Opus 4.6,ContentProducerRegistry,getSuperClassContentProducer,Type-1(c),yes,no,2,yes,yes,yes
Claude Opus 4.6,DisposableResourceManagerFactory,initManager,Type-1(c),yes,no,1,yes,yes,yes
Claude Opus 4.6,FigureDataContentProducer,getContent,Type-1(c),yes,no,1,yes,yes,yes
Claude Opus 4.6,HTMLContentProducer,getHTMLFontSizeEquivalent,Type-1(c),yes,no,1,yes,yes,yes
Claude Opus 4.6,ResourceContentProducer,getContent,Type-2(a),yes,no,1,yes,yes,yes
Claude Opus 4.6,URLContentProducer,getContent,Type-2(a),yes,no,1,yes,yes,yes
Claude Opus 4.6,AreaTracker,drawXORRect,Type-2(a),yes,no,1,yes,yes,yes
Claude Opus 4.6,DoubleBufferImage,getGraphics,Type-2(a),yes,no,1,yes,yes,yes
Claude Opus 4.6,MiniMapZoomableView,getInverseSubjectTransform,Type-2(a),yes,no,1,yes,yes,yes
Claude Opus 4.6,ScalingGraphics,clipRect,Type-2(b),yes,no,2,yes,yes,yes
Claude Opus 4.6,ZoomDrawingView,zoom,Type-2(b),yes,no,2,yes,yes,yes
Claude Opus 4.6,ZoomDrawingView,centralize,Type-2(b),yes,no,2,yes,yes,yes
Claude Opus 4.6,AutoscrollHelper,autoscroll,Type-2(c),yes,no,1,yes,yes,yes
Claude Opus 4.6,CTXCommandMenu,actionPerformed,Type-2(c),yes,no,1,yes,yes,yes
Claude Opus 4.6,CustomSelectionTool,mouseDown,Type-2(d),yes,no,1,yes,yes,yes
Claude Opus 4.6,FloatingTextArea,setBounds,Type-2(d),yes,no,1,yes,yes,yes
Claude Opus 4.6,MiniMapView,getViewRectangle,Type-2(d),yes,no,1,yes,yes,yes
Claude Opus 4.6,NestedCreationTool,mouseDown,Type-3(a),yes,no,no,,,3 extract method not confirmed
Claude Opus 4.6,StandardLayouter,calculateLayout,Type-3(a),yes,no,1,yes,yes,yes
Claude Opus 4.6,WindowMenu,buildChildMenus,Type-3(a),yes,no,1,yes,yes,yes
Claude Opus 4.6,PolygonTool,addPoint,Type-3(b),yes,no,1,yes,yes,yes
Claude Opus 4.6,AbstractLineDecoration,read,Type-3(b),yes,no,1,yes,yes,yes
Claude Opus 4.6,BorderTool,mouseDown,Type-3(b),yes,no,1,yes,yes,yes
Claude Opus 4.6,PolygonFigure,handles,Type-3(c),yes,no,1,yes,yes,yes
Claude Opus 4.6,DesktopEventService,getDrawingViews,Type-3(c),yes,no,1,yes,yes,yes
Claude Opus 4.6,ZoomCommand,zoomView,Type-3(c),yes,no,no,,,3 incomplete refactoring
Claude Opus 4.6,ZoomTool,mouseDown,Type-3(d),yes,no,1,yes,yes,yes
Claude Opus 4.6,TextAreaFigure,setFont,Type-3(d),yes,no,no,,,3 direct clone removal
Claude Opus 4.6,TextAreaTool,mouseUp,Type-3(d),yes,no,no,,,3 incomplete refactoring 
Claude Opus 4.6,ImageFigure,imageUpdate,Type-3(e),yes,no,1,yes,yes,yes
Claude Opus 4.6,PolyLineFigure,displayBox,Type-3(e),yes,no,1,yes,yes,yes
